date,year,month,day,ordinal,population,sex,SL,BD,AFL,DFL
20130429,2013,4,29,118,aomori,f,20.76558129,4.180197848,2.972485796,NA
20130429,2013,4,29,118,aomori,f,31.19228218,6.064949673,4.086464973,3.980474721
20130429,2013,4,29,118,aomori,f,28.09448274,5.057393361,4.133043002,3.429469616
20130429,2013,4,29,118,aomori,f,29.29383093,5.675165114,3.781472616,3.724944481
20130429,2013,4,29,118,aomori,f,27.69979523,5.430738615,3.708360973,3.858477778
20130429,2013,4,29,118,aomori,f,23.40827157,4.501917919,3.334438901,2.749257347
20130429,2013,4,29,118,aomori,f,21.80659303,4.229515762,2.958065353,2.714215672
20130429,2013,4,29,118,aomori,f,23.40668532,4.588873187,3.314827099,2.68970092
20130429,2013,4,29,118,aomori,f,21.75006489,4.008017766,3.070544804,2.594237591
20130429,2013,4,29,118,aomori,f,23.53776714,4.602861016,3.128514983,3.109047386
20130429,2013,4,29,118,aomori,f,27.69171978,4.953133562,3.862227093,3.473019352
20130429,2013,4,29,118,aomori,f,21.12551553,4.026908546,2.358463358,2.567992386
20130514,2013,5,14,133,aomori,m,28.37813764,6.360264591,4.235211658,5.030591534
20130514,2013,5,14,133,aomori,m,27.79930786,6.111589738,4.747017508,4.622315027
20130514,2013,5,14,133,aomori,m,25.59773959,5.527211133,4.703649081,4.468846283
20130514,2013,5,14,133,aomori,m,25.98411285,5.68812698,4.541126995,4.184834192
20130514,2013,5,14,133,aomori,m,26.73378795,5.416088664,4.326767227,4.14190383
20130514,2013,5,14,133,aomori,m,26.17481711,5.732663581,4.616912226,4.091234321
20130514,2013,5,14,133,aomori,m,26.75072646,5.753836719,4.855657608,4.832294146
20130514,2013,5,14,133,aomori,m,29.18359301,6.55958413,5.377830995,5.143174218
20130514,2013,5,14,133,aomori,m,28.31271995,6.031569879,5.310953083,4.462421331
20130514,2013,5,14,133,aomori,m,27.81347196,6.072894003,4.333046157,4.577632405
20130514,2013,5,14,133,aomori,m,29.98233138,6.462479739,5.007374093,4.797102931
20130514,2013,5,14,133,aomori,m,27.44462129,6.127944161,4.906035074,4.295810639
20130514,2013,5,14,133,aomori,m,27.79434312,5.989077581,5.27503176,4.624213308
20130514,2013,5,14,133,aomori,m,25.2995634,5.988639516,4.562884219,4.714600704
20130514,2013,5,14,133,aomori,m,23.59125622,4.699560475,3.812332988,3.747499379
20130514,2013,5,14,133,aomori,m,28.54606253,6.261553962,4.815647679,4.782500767
20130514,2013,5,14,133,aomori,m,27.18543288,5.904531052,4.442708409,4.426500007
20130514,2013,5,14,133,aomori,m,27.07416439,6.135975352,4.776221836,4.596615218
20130514,2013,5,14,133,aomori,m,26.95428062,5.931837098,4.493815984,4.655023875
20130514,2013,5,14,133,aomori,m,27.80383453,6.04953054,4.307930435,4.458478747
20130514,2013,5,14,133,aomori,f,26.6511397,4.971160726,3.610677102,3.363754508
20130514,2013,5,14,133,aomori,f,26.4837989,4.757823109,2.943212184,3.32476673
20130514,2013,5,14,133,aomori,f,29.01669027,5.928478601,4.072251508,3.732897215
20130514,2013,5,14,133,aomori,f,27.6646759,5.36410496,3.856869588,3.470204284
20130514,2013,5,14,133,aomori,f,27.72293854,5.312997386,3.838178818,3.445088562
20130514,2013,5,14,133,aomori,f,27.71841187,5.351255056,3.741220449,3.474146869
20130514,2013,5,14,133,aomori,f,24.90720325,4.923995736,3.223135669,2.942774119
20130514,2013,5,14,133,aomori,f,23.75188003,4.567994977,3.287823255,3.088649738
20130514,2013,5,14,133,aomori,f,28.2982638,5.520494137,3.816713637,3.496634201
20130514,2013,5,14,133,aomori,f,30.195669,5.624607567,3.832337952,3.998510579
20130514,2013,5,14,133,aomori,f,27.23245185,5.442810625,4.190529036,3.363170422
20130514,2013,5,14,133,aomori,f,25.60533271,4.930128645,3.259056992,3.408291109
20130514,2013,5,14,133,aomori,f,23.60804871,4.434823241,3.127637516,2.716440576
20130514,2013,5,14,133,aomori,f,24.73533578,5.111341501,3.385073668,3.143845918
20130514,2013,5,14,133,aomori,f,28.27971905,4.859308149,3.690696961,3.631412175
20130514,2013,5,14,133,aomori,f,27.25669144,4.926040039,3.526714659,3.336448462
20130514,2013,5,14,133,aomori,f,26.3980842,4.894353343,3.526860681,3.330899639
20130514,2013,5,14,133,aomori,f,27.1248339,4.956558562,3.395295183,3.201816509
20130514,2013,5,14,133,aomori,f,26.06135829,4.67780325,3.6140356,3.350028474
20130514,2013,5,14,133,aomori,f,31.03748376,5.7948688,4.661302805,4.573251756
20130528,2013,5,28,147,aomori,m,24.53784322,5.268252976,4.376498975,4.199456372
20130528,2013,5,28,147,aomori,m,25.4740759,5.702138175,4.867218047,4.104248732
20130528,2013,5,28,147,aomori,m,23.04897016,4.793813684,3.813974447,3.703213803
20130528,2013,5,28,147,aomori,m,27.46573252,6.366120616,4.599328459,4.579996221
20130528,2013,5,28,147,aomori,m,29.29953341,6.600142448,5.252554617,4.505138305
20130528,2013,5,28,147,aomori,m,27.8036833,6.593892176,5.409683562,4.660086922
20130528,2013,5,28,147,aomori,m,26.88082329,6.161024463,5.085541521,4.666627905
20130528,2013,5,28,147,aomori,m,23.05173191,5.144119656,3.694783203,4.101486983
20130528,2013,5,28,147,aomori,m,27.15002108,6.234574182,5.45794148,5.003851912
20130528,2013,5,28,147,aomori,m,22.88806198,5.255607076,4.420686949,4.40135471
20130528,2013,5,28,147,aomori,m,22.40170356,4.882334986,4.30585636,4.008750382
20130528,2013,5,28,147,aomori,m,23.47079088,5.066209282,3.766152594,3.98680175
20130528,2013,5,28,147,aomori,m,26.28501243,5.583964417,4.984519674,4.500196229
20130528,2013,5,28,147,aomori,m,20.8791081,4.582176548,3.531549341,3.375001817
